,Organization Name,latitude,longitude,Organization Name URL,Operating Status,Total Funding Amount Currency (in USD),Estimated Revenue Range
235,Bucky Box,-41.2931163,174.7821707,https://www.crunchbase.com/organization/bucky-box,Active,276683,$1M to $10M
236,Agistix,37.7947881,-122.3984101,https://www.crunchbase.com/organization/agistix,Active,2000000,$1M to $10M
237,ApeSoft,39.0085383,-77.5034453,https://www.crunchbase.com/organization/ape-software,Active,3800000,$10M to $50M
238,ApeSoft,41.4847715,2.1270519,https://www.crunchbase.com/organization/ape-software,Active,3800000,$10M to $50M
239,Dayton T. Brown,37.6843628,-97.332753,https://www.crunchbase.com/organization/dayton-t-brown-inc,Active,92935,$50M to $100M
240,Dayton T. Brown,38.3583554,-76.5719414,https://www.crunchbase.com/organization/dayton-t-brown-inc,Active,92935,$50M to $100M
241,Dayton T. Brown,40.7719271,-73.0971552,https://www.crunchbase.com/organization/dayton-t-brown-inc,Active,92935,$50M to $100M
242,Dayton T. Brown,41.3164856,-73.0931641,https://www.crunchbase.com/organization/dayton-t-brown-inc,Active,92935,$50M to $100M
243,Idle Free Systems,43.060161,-89.5149224,https://www.crunchbase.com/organization/idle-free-systems,Active,1895000,$1M to $10M
244,Hi-G-Tek,39.1092145,-77.1541785,https://www.crunchbase.com/organization/hi-g-tek,Active,22260000,$10M to $50M
245,Hi-G-Tek,32.0211339,34.8626674,https://www.crunchbase.com/organization/hi-g-tek,Active,22260000,$10M to $50M
246,CellWand Communications,43.6479916,-79.377735,https://www.crunchbase.com/organization/cellwand-communications,Active,40000,Less than $1M
